Key,Text
"LOC_EEX_1","This version of Editor Extensions Redux is not compatible with this version of KSP"
"LOC_EEX_2","\u"
"LOC_EEX_3","a"
"LOC_EEX_4","VAB/Launchpad Mode"
"LOC_EEX_5","SPH/Runway Mode"
"LOC_EEX_6","DefaultSnap"
"LOC_EEX_7","Reroot is active"
"LOC_EEX_8","Zoom Camera on"
"LOC_EEX_9","Default Camera"
"LOC_EEX_10","Reroot is not active"
"LOC_EEX_11","No Offset Limit is active"
"LOC_EEX_12","No Offset Limit is not active"
"LOC_EEX_13","Change will take effect after deselecting current part"
"LOC_EEX_14","Part selected as target for snap: "
"LOC_EEX_15","Master Snap mode off"
"LOC_EEX_16","Surface attachment"
"LOC_EEX_17","for"
"LOC_EEX_18","Part clipping "
"LOC_EEX_19","enabled"
"LOC_EEX_20","disabled"
"LOC_EEX_21","OSDLabel"
"LOC_EEX_22","SymmetryLabel"
"LOC_EEX_23","Label"
"LOC_EEX_24","\nKSP version: "
"LOC_EEX_25","EEX Menu"
"LOC_EEX_26","Show Angle Snaps"
"LOC_EEX_27","Settings"
"LOC_EEX_28","Fine Adjust"
"LOC_EEX_29","Position Debug"
"LOC_EEX_30","Allow Mass Tweakables"
"LOC_EEX_31","Reset Mode & Snap keys"
"LOC_EEX_32","Symmetry Mode & Angle Snap keys have been reset"
"LOC_EEX_33","Mass Tweakables:"
"LOC_EEX_34","All Rigid"
"LOC_EEX_35","RigidAttach turned ON for all current Parts in Vessel."
"LOC_EEX_36","Disable Rigid"
"LOC_EEX_37","RigidAttach turned OFF for all current Parts in Vessel."
"LOC_EEX_38","Toggle Rigid"
"LOC_EEX_39","RigidAttach toggled for all current Parts in Vessel."
"LOC_EEX_40","No Autostruts"
"LOC_EEX_41","Autostruts turned OFF for all current Parts in Vessel (except forced)."
"LOC_EEX_42","AS Grandparent"
"LOC_EEX_43","Autostruts set to 'Grandparent' for all current Parts in Vessel (except forced)."
"LOC_EEX_44","AS Heaviest"
"LOC_EEX_45","Autostruts set to 'Heaviest' for all current Parts in Vessel (except forced)."
"LOC_EEX_46","AS Root"
"LOC_EEX_47","Autostruts set to 'Root' for all current Parts in Vessel (except forced)."
"LOC_EEX_48","Hide Autostruts"
"LOC_EEX_49","Show Autostruts"
"LOC_EEX_50","Click to open the Forum thread"
"LOC_EEX_51","Close"
"LOC_EEX_52","M"
"LOC_EEX_53","MM"
"LOC_EEX_54","Fine Adjustments"
"LOC_EEX_55"," Active"
"LOC_EEX_56","Translation"
"LOC_EEX_57","Adjustment Type: "
